rmse,rmsle,percentage_of_train_cases,time
1339034.5124797197,0.4511300657792129,0.85,0.005874156951904297
1102614.0049378234,0.4741103254489943,0.85,0.005774497985839844
1042140.6995424922,0.43311194256173824,0.85,0.006152153015136719
1064353.931235707,0.4528347726440699,0.85,0.0058705806732177734
1220037.5150029908,0.4136225178512026,0.85,0.005614519119262695
1078772.9193449225,0.43556149045840725,0.85,0.007096767425537109
1128573.8599394374,0.47294483495614686,0.85,0.005589485168457031
1110298.567542451,0.48050863463373666,0.85,0.007925987243652344
1109462.8092280019,0.42935588639663447,0.85,0.008071422576904297
1181014.1785614223,0.4759898561768487,0.85,0.006356477737426758
1250003.8573503774,0.49738828348351094,0.85,0.007283687591552734
1346801.255105931,0.48327215302075405,0.85,0.005584716796875
1275942.449049895,0.4590477410253266,0.85,0.005936861038208008
1514648.848622266,0.5317684253706206,0.85,0.005704402923583984
1047213.668688587,0.39503371630838047,0.85,0.005756378173828125
1141907.4829833482,0.4759635979597948,0.85,0.005623817443847656
1165331.5449882674,0.44348825561054295,0.85,0.005887746810913086
1138224.7568804137,0.44562990557599047,0.85,0.005797147750854492
1236592.2866801638,0.48412647054732494,0.85,0.005825519561767578
1372316.3440734895,0.5102357502930897,0.85,0.005782604217529297
1054962.4444991087,0.46127075399452566,0.85,0.005835294723510742
1014995.2366739322,0.37351196673391307,0.85,0.006106853485107422
1229799.9332040192,0.45551531835847753,0.85,0.005722522735595703
1207134.6837053213,0.44403080976829673,0.85,0.005873680114746094
1121226.707138008,0.4302474146913596,0.85,0.005739927291870117
1298544.9405378962,0.44475874220084555,0.85,0.006060600280761719
1255466.932594835,0.43428184771547873,0.85,0.005563497543334961
1398915.3999253912,0.4392941700664795,0.85,0.005808353424072266
1115489.8435226316,0.4976879166986296,0.85,0.005593538284301758
1039175.9251789728,0.43987058085790304,0.85,0.0056896209716796875
