rmse,rmsle,percentage_of_train_cases,time
615078.3096972967,0.3434881484047499,0.85,0.005581855773925781
848536.425511289,0.36867151447651,0.85,0.005511760711669922
957026.3571061426,0.3135340928815777,0.85,0.005944728851318359
727727.9508246413,0.2584111937194185,0.85,0.00580286979675293
765142.5026021365,0.2588716662751319,0.85,0.00543212890625
606253.1788675785,0.1903004992117276,0.85,0.008090019226074219
760539.6621354552,0.32218805381189414,0.85,0.0059545040130615234
897548.1228424432,0.304823186121669,0.85,0.005669116973876953
910224.4000302212,0.2685423121259195,0.85,0.005468130111694336
559641.8735980152,0.2795610881801452,0.85,0.005997180938720703
558194.8668040264,0.3254705824492072,0.85,0.0053403377532958984
606970.5719575845,0.23021064209803868,0.85,0.009734869003295898
576079.9219213801,0.34122962984526634,0.85,0.005608797073364258
447255.21080025355,0.22269594224049688,0.85,0.005380392074584961
861068.588613898,0.2714293494716075,0.85,0.005651235580444336
976542.6483651702,0.363985387525968,0.85,0.005688905715942383
918629.5689394117,0.36178073149255097,0.85,0.005866527557373047
995106.2366481423,0.3010810673919383,0.85,0.00987863540649414
585658.3665193246,0.2069578561091623,0.85,0.0060710906982421875
954033.6539648257,0.2815772649034759,0.85,0.005566596984863281
596896.177773221,0.2829323976094083,0.85,0.005469560623168945
658358.4892143287,0.3628332171699095,0.85,0.0057659149169921875
496641.1894786626,0.2048375038989686,0.85,0.00621342658996582
653816.7856370222,0.3403271114092576,0.85,0.005755901336669922
1080725.3771764585,0.4105164011831053,0.85,0.005893707275390625
809312.766710367,0.36679350880828115,0.85,0.006041288375854492
651686.1780966558,0.3373826557268085,0.85,0.0056383609771728516
950634.2001675854,0.3014593220444513,0.85,0.005693674087524414
668413.2893651455,0.23097369281044317,0.85,0.00562286376953125
989151.6833936501,0.3208932220593092,0.85,0.009979963302612305
