rmse,rmsle,percentage_of_train_cases,time
752131.9416873239,0.43679281265799963,0.85,0.0057010650634765625
831416.836329462,0.4007857006120479,0.85,0.006000041961669922
856297.7436949634,0.4383068254372496,0.85,0.006082773208618164
924109.682171113,0.406423750528374,0.85,0.008002519607543945
842425.9928831614,0.4163164422638767,0.85,0.005910396575927734
928551.7675438642,0.392591571603838,0.85,0.006222963333129883
755408.4915386875,0.3362972366873143,0.85,0.005913972854614258
1028408.6656791272,0.4369527809506678,0.85,0.010633468627929688
1081071.6503603153,0.520148902889285,0.85,0.006022214889526367
907420.8239456643,0.37597646802052803,0.85,0.007327556610107422
801881.5447659624,0.37919409039148133,0.85,0.005952358245849609
928326.0212650143,0.38856448835138646,0.85,0.005999565124511719
1119259.789519743,0.40160224525216665,0.85,0.006133079528808594
895337.4546651031,0.31715187714225845,0.85,0.005848407745361328
830631.8388750538,0.39686038913280186,0.85,0.005908489227294922
1030445.7552752187,0.45695798551949546,0.85,0.006036996841430664
750716.8807118555,0.41697228299379385,0.85,0.005916595458984375
901600.5546335444,0.47149181924545075,0.85,0.006076812744140625
1004613.1104208935,0.4046868496144369,0.85,0.006272554397583008
864546.3178843724,0.44325099482165836,0.85,0.006378173828125
867054.4368657344,0.3331427464460727,0.85,0.006432056427001953
759740.4113250138,0.48984630961904413,0.85,0.010277271270751953
1000142.3200829705,0.4340894742744625,0.85,0.005907773971557617
800617.4123377894,0.5135981219454435,0.85,0.005905866622924805
806980.1124567724,0.539092379191009,0.85,0.0063228607177734375
835889.0870086368,0.46382531720454645,0.85,0.005961418151855469
781595.8354588982,0.35564692025751615,0.85,0.005955934524536133
1180542.101406697,0.46596744475364377,0.85,0.006251096725463867
905110.5982520065,0.4064034648508051,0.85,0.007074594497680664
940798.6826219113,0.3737668477613849,0.85,0.005953311920166016
