rmse,rmsle,percentage_of_train_cases,time
939948.9708671813,0.42295257493188115,0.85,0.007430315017700195
1108543.2293690245,0.5514812838622013,0.85,0.008922100067138672
1045994.4573680415,0.5450577442723226,0.85,0.007385969161987305
1106906.6293830308,0.5196274484996368,0.85,0.008366584777832031
878006.782031804,0.4862774717579503,0.85,0.007126569747924805
1096666.1824352478,0.534834578687238,0.85,0.008813142776489258
1085330.3839179452,0.49138631720315507,0.85,0.0074231624603271484
1248298.3311587633,0.49781230089258577,0.85,0.007252216339111328
1097926.1337483837,0.5761493810243477,0.85,0.006505012512207031
1152730.107276791,0.5063636334352971,0.85,0.008127212524414062
1016970.9473378643,0.5053085503491375,0.85,0.006030559539794922
1193524.392382793,0.5181054292861279,0.85,0.012316703796386719
1101181.421724851,0.4587759062931889,0.85,0.007825851440429688
1167062.442724564,0.46715756585610013,0.85,0.007150888442993164
1169479.1642965886,0.49249109310607403,0.85,0.00956869125366211
1110533.0456286746,0.5136108689805685,0.85,0.006990671157836914
1019211.5036430872,0.564929589721194,0.85,0.007689237594604492
971704.4956016898,0.5019385565720155,0.85,0.0076465606689453125
1240238.8058303138,0.5419493410117828,0.85,0.007246971130371094
1020988.1561291564,0.42484237268993524,0.85,0.006275653839111328
1046352.8818669715,0.46778773147294017,0.85,0.006694316864013672
1003426.1993795746,0.5826442900910007,0.85,0.0069468021392822266
1126141.9614845035,0.5345136609407581,0.85,0.006889820098876953
962475.1247187422,0.5311348318369078,0.85,0.006322145462036133
937993.0383310037,0.4959400567926382,0.85,0.007816791534423828
943019.5548301729,0.5083480915318868,0.85,0.007566213607788086
932324.6493245666,0.4673657396307892,0.85,0.007644176483154297
1307861.1431641288,0.5744153225840364,0.85,0.007115602493286133
1048112.7242281564,0.5577292704812722,0.85,0.008146524429321289
1148653.4182496006,0.5060825248478167,0.85,0.0063610076904296875
